url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/alopagesic-liniment-otc398731,,Alopa Herbal Healthcare Pvt Ltd,,,,
https://www.1mg.com/otc/amron-xamax-abdominal-belt-xxxl-otc428949,,Xamax Ergonomics Pvt. Ltd.,,,,
https://www.1mg.com/otc/accusure-a-9-elastic-ankle-support-large-otc371781,,AccuSure Ortho Support,,,,
https://www.1mg.com/otc/amron-xamax-ls-belt-regular-xxxl-otc421609,,Xamax Ergonomics Pvt. Ltd.,,,,
https://www.1mg.com/otc/lp-957-elastic-support-stocking-large-otc331430,LP #957 Elastic Support Stocking,LP Support,It is primarily used in the condition of pain due to varicose veins or restricted blood circulation.,"It helps to alleviate pain due to varicose veins or restricted blood circulation, The product is bi-knitted and bi-layered with 100% cotton lining, It facilitates compression and support to the calves",Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/vissco-5602-platinum-wrist-splint-binder-with-silicone-pressure-pad-xl-right-otc448727,Vissco 5602 Platinum Wrist Splint Binder with Silicone Pressure Pad,Vissco Rehabilitation Aids Pvt. Ltd.,"It helps to facilitate support and stability to the wrist and is useful for painful, swollen, or weak joints.",,Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
https://www.1mg.com/otc/netagel-quick-relief-from-muscle-joint-pain-gel-30gm-each-otc930140,Netagel Quick Relief from Muscle & Joint pain Gel (30gm Each),Aneta Pharmaceuticals Pvt. Ltd,,"Diclofenac Diethylamine, This gel is designed to provide quick relief from muscle and joint pain, Its formulation is optimised for rapid action, making it an effective solution for alleviating various types of discomfort, including body pain, back pain, strains, and inflammation, The gel harnesses the benefits of diclofenac diethylamine and is known for its potent anti-inflammatory and pain-relieving properties, which help target the root causes of pain and reduce inflammation, One of the advantages of this gel is its ability to get absorbed quickly into the skin tissues; this efficient absorption ensures that the active ingredients reach the affected areas swiftly, enhancing the speed at which it begins to work",Apply on the targetted areas.,"Read the label carefully, Store in a cool, dry place, Keep out of reach of children, Maintain hygiene"
https://www.1mg.com/otc/dyna-3d-knitted-knee-cap-medium-orange-right-otc392341,,Dynamic Techno Medicals Pvt. Ltd.,,,,
https://www.1mg.com/otc/samson-pa2005-hot-cold-pack-large-otc348970,,Samson Scientifics & Surgicals,,,,
https://www.1mg.com/otc/wangay-gel-otc656395,Wangay Gel,West-Coast Pharmaceutical Works Ltd,,"Menthol, Methyl salicylate, Eucalyptus oil, Turpentine oil, It may be used to help facilitate the process of ligament regeneration, It provides relief from gouty inflammation of the joint, It assists in reducing joint stress and preserves joint cartilage",Read the label carefully before use,"Do not exceed the recommended dosage, Store in a cool and dry place away from direct sunlight, Keep out of reach of children"
https://www.1mg.com/otc/siddhayu-painquit-natural-pain-relief-roll-on-otc626702,Siddhayu Painquit Natural Pain Relief Roll-On - From the House of Baidyanath,Siddhayu Healthcare Pvt Ltd,,,,
